Rainfall,RainTomorrow,Temp_avg,Pressure_avg,Humidity_avg,WindSpeed_avg
0.2,No,30.75,1012.3499999999999,42.5,22.666666666666668
0.8,No,18.65,1010.0,65.5,26.333333333333332
0.8,Yes,16.825000000000003,1007.85,86.5,29.666666666666668
0.4,No,13.25,1020.95,60.0,18.0
0.2,Yes,13.05,1006.6,75.5,25.0
0.4,No,21.3,1019.9,37.0,13.333333333333334
1.0,Yes,21.724999999999998,1015.5999999999999,81.5,13.333333333333334
0.8,No,10.724999999999998,1033.95,70.0,11.0
0.2,No,10.725,1029.85,63.5,9.0
0.2,Yes,14.399999999999999,1004.8,58.0,40.0
0.2,No,13.225000000000001,1024.75,67.0,15.0
0.4,Yes,13.7,1025.6,89.0,21.666666666666668
0.4,No,19.025,1019.3499999999999,59.0,14.666666666666666
0.2,No,14.475,1028.85,51.5,20.333333333333332
0.2,Yes,30.525000000000002,1009.0,35.5,13.666666666666666
0.2,Yes,11.55,1011.65,59.5,27.666666666666668
0.2,Yes,10.55,1003.6,94.5,20.666666666666668
0.2,No,11.75,1034.0,85.5,8.666666666666666
0.8,No,16.05,1017.3,60.5,12.333333333333334
0.2,No,12.125,1027.6,46.5,17.333333333333332
0.8,Yes,11.625,1025.7,78.5,15.666666666666666
0.2,Yes,19.95,1010.85,70.0,34.0
0.2,Yes,15.299999999999999,1023.05,68.5,18.0
1.0,No,16.82857142857143,1021.1500000000001,85.0,16.0
1.0,Yes,15.549999999999999,1001.2,79.0,22.333333333333332
0.8,No,18.65,1025.15,80.0,32.666666666666664
0.2,Yes,14.275,1024.25,68.5,16.333333333333332
0.2,No,12.7,1027.7,66.5,27.0
0.2,No,12.2,1023.25,79.0,14.666666666666666
0.2,No,14.799999999999999,1030.7,77.0,21.0
0.6,No,19.05,1016.5,62.0,15.0
0.7,Yes,11.9,1033.85,91.5,15.333333333333334
0.3,No,12.870833333333335,1019.3,70.0,24.333333333333332
0.6,No,17.0,1032.1999999999998,73.5,27.333333333333332
0.8,No,13.555,1031.3,69.5,26.0
0.2,No,16.85,1023.45,59.5,17.666666666666668
0.8,Yes,13.8,1021.4000000000001,66.5,22.0
0.8,Yes,15.25,1003.3,80.0,22.666666666666668
0.2,No,16.924999999999997,1015.45,62.0,24.333333333333332
0.4,No,19.339999999999996,1018.0,63.5,23.666666666666668
0.6,Yes,16.875,1012.5,77.5,34.666666666666664
0.2,No,15.75,1014.05,69.5,17.333333333333332
0.4,Yes,15.024999999999999,1010.45,90.0,13.666666666666666
0.4,No,13.55,1020.85,75.0,17.333333333333332
0.2,No,21.400000000000002,1015.4,40.5,23.0
1.0,No,12.65,1017.05,56.0,31.666666666666668
1.0,No,8.825,1020.75,61.0,15.666666666666666
0.2,No,12.975000000000001,1030.6,56.0,14.0
0.6,No,23.875000000000004,1012.15,60.0,16.666666666666668
1.0,No,16.4,1016.5999999999999,46.0,26.666666666666668
0.2,No,6.7,1032.65,85.0,9.333333333333334
1.0,Yes,12.2,1010.0,71.5,38.0
0.4,No,14.5,1014.1500000000001,64.5,17.666666666666668
0.4,No,16.975,1014.3,68.5,24.666666666666668
0.2,No,15.15,1015.4,50.0,23.333333333333332
0.6,Yes,22.075,1012.05,71.5,14.0
0.2,Yes,12.850000000000001,1024.3000000000002,84.5,6.333333333333333
0.4,No,14.875,1021.15,74.0,15.333333333333334
0.4,Yes,7.8500000000000005,1023.2,98.0,12.666666666666666
0.2,Yes,8.475,1024.25,87.5,10.333333333333334
0.2,No,14.875,1021.55,66.5,11.0
0.2,No,27.775,1007.55,31.0,34.333333333333336
1.0,Yes,28.575000000000003,1009.25,48.5,39.0
0.2,No,11.950000000000001,1022.5,65.0,11.666666666666666
0.4,Yes,20.725,1018.25,79.0,29.0
0.6,No,27.7,1008.15,52.5,21.0
1.0,No,29.2,1004.15,44.5,34.333333333333336
0.6,Yes,25.5,1015.8,63.5,23.333333333333332
0.8,No,11.775000000000002,1024.55,68.0,11.666666666666666
0.4,Yes,18.575000000000003,1025.5,73.0,23.666666666666668
0.2,No,20.0,1019.45,63.0,17.333333333333332
0.2,No,15.3,1025.5,72.5,10.0
0.4,Yes,21.4,1016.85,100.0,20.333333333333332
0.2,No,19.950000000000003,1006.0,68.5,24.666666666666668
1.0,Yes,13.2,1014.75,99.0,21.0
0.6,No,14.175,1025.65,46.0,28.666666666666668
0.4,No,14.525,1022.9000000000001,82.0,14.666666666666666
0.2,No,14.125,1024.5500000000002,76.5,11.0
0.6,No,12.35,1022.5999999999999,73.0,9.333333333333334
0.2,No,11.525,1029.25,76.5,7.0
0.8,Yes,19.55,1016.6,73.5,14.666666666666666
0.4,No,21.450000000000003,1009.3,61.0,24.666666666666668
0.6,No,18.15,1026.9,79.0,21.666666666666668
0.2,No,23.075,1018.65,57.5,13.0
0.2,No,10.274999999999999,1013.15,77.5,14.666666666666666
0.2,No,10.475,1018.6785714285713,61.5,23.0
0.4,No,13.3,1014.9,50.5,24.0
0.2,No,12.0,1026.1,80.0,14.333333333333334
0.2,No,18.525,1023.7,67.5,15.666666666666666
0.2,No,11.725,1006.9,82.0,7.333333333333333
0.8,No,12.025,1030.45,79.0,12.333333333333334
0.2,No,13.350000000000001,1018.35,42.0,23.666666666666668
0.6,No,18.925,1010.75,29.5,31.666666666666668
0.2,No,13.225,1005.6,67.5,36.666666666666664
0.6,No,22.25,1018.95,64.0,31.333333333333332
0.6,Yes,7.75,1021.45,96.5,25.333333333333332
0.2,Yes,11.425,1019.45,44.0,26.666666666666668
0.2,No,10.325,1019.35,97.0,14.666666666666666
0.2,No,7.275,1035.55,74.5,22.333333333333332
0.6,No,5.8,1023.25,69.0,27.333333333333332
0.4,Yes,10.925,1013.5,86.5,35.333333333333336
0.2,No,9.775,1025.7,82.5,10.0
0.4,No,7.775,1017.15,66.5,28.666666666666668
0.8,Yes,10.850000000000001,1013.05,69.0,33.333333333333336
0.2,No,13.975,1015.75,57.5,34.666666666666664
0.4,No,13.649999999999999,1024.6999999999998,73.5,21.666666666666668
0.2,No,9.2,1025.65,91.0,12.333333333333334
0.4,No,6.85,1027.1,91.0,36.333333333333336
0.2,No,5.55,1024.2,87.0,24.666666666666668
0.2,No,11.875,1027.2,61.0,13.666666666666666
1.0,Yes,9.375,1014.8,98.5,36.333333333333336
0.2,No,10.075,1010.8,54.0,37.666666666666664
0.4,No,6.275,1029.8000000000002,89.0,6.666666666666667
0.2,No,12.55,1029.1999999999998,57.5,21.0
1.0,No,7.425,1023.35,95.5,19.666666666666668
0.2,No,9.375,1015.3,81.5,34.333333333333336
0.2,No,8.95,1024.4499999999998,88.0,26.666666666666668
0.2,Yes,21.825000000000003,1008.15,37.0,30.0
0.2,No,16.9,1022.85,52.0,20.0
0.6,Yes,15.95,1015.8,78.5,18.666666666666668
0.6,No,13.274999999999999,1014.35,56.0,25.666666666666668
0.8,No,18.95,1005.45,68.5,27.0
0.2,Yes,7.125,1008.9,84.0,13.666666666666666
0.6,No,10.725,1005.6,67.5,34.666666666666664
0.8,No,10.075,1015.0999999999999,59.5,27.666666666666668
0.2,Yes,8.25,1010.9000000000001,76.0,26.0
0.2,No,8.649999999999999,1021.55,83.5,14.0
0.4,No,9.425,1028.95,83.0,13.333333333333334
0.2,No,11.924999999999999,1008.2,80.0,25.333333333333332
0.6,No,10.85,1024.3,55.5,22.0
0.2,No,14.775,1020.3,73.5,20.333333333333332
0.4,No,22.375,1011.2,48.0,29.0
0.4,No,28.525,1007.3499999999999,41.0,18.666666666666668
1.0,No,6.225,1016.55,89.0,12.333333333333334
0.2,Yes,7.625000000000001,1008.45,68.0,25.0
0.4,Yes,10.225000000000001,1016.25,91.5,19.666666666666668
0.2,No,10.975,1033.25,70.5,21.0
0.8,No,11.075,1011.3,67.5,28.333333333333332
0.2,No,8.25,1031.6,73.0,8.333333333333334
0.6,No,11.774999999999999,1020.8499999999999,77.0,16.666666666666668
0.4,Yes,11.899999999999999,1011.9000000000001,86.5,26.333333333333332
0.2,No,6.4,1015.35,75.0,15.333333333333334
0.2,No,11.724999999999998,1017.75,87.0,11.666666666666666
0.6,No,12.625,1015.8,53.5,37.0
0.2,Yes,19.075000000000003,1008.55,52.0,24.666666666666668
0.2,No,12.399999999999999,1021.0,63.5,16.666666666666668
0.2,Yes,11.65,1025.35,69.5,19.666666666666668
0.2,Yes,19.3,1003.7,47.0,16.0
1.0,Yes,25.475,1011.5999999999999,71.0,24.333333333333332
0.4,Yes,25.85,1015.6500000000001,72.0,11.333333333333334
0.2,Yes,29.5,1016.05,58.0,15.0
0.6,No,25.525,1012.75,58.0,17.333333333333332
0.8,No,24.800000000000004,1013.95,74.0,15.333333333333334
0.4,No,19.0,1026.55,57.0,17.333333333333332
0.2,No,26.625,1014.25,49.0,17.333333333333332
0.4,No,17.375,1019.4,62.5,16.0
0.4,No,22.25,1021.7,63.5,14.666666666666666
1.0,Yes,21.375,1014.2,59.5,23.666666666666668
0.4,No,26.200000000000003,1011.95,57.5,19.0
0.2,No,19.400000000000002,1017.25,35.0,13.0
0.2,No,16.15,1012.55,43.0,19.666666666666668
0.6,No,16.675,1014.8499999999999,49.5,20.666666666666668
0.2,No,23.55,1014.85,50.5,19.0
0.2,No,18.200000000000003,1024.35,73.0,12.333333333333334
0.2,No,26.2,1011.1500000000001,60.5,15.0
0.2,No,29.675000000000004,1010.2,68.0,26.666666666666668
0.8,No,25.225,1017.1500000000001,66.0,27.333333333333332
1.0,No,29.725,1005.9000000000001,65.5,21.0
0.2,Yes,28.1,1011.5999999999999,67.5,33.333333333333336
0.2,No,28.825,1013.4000000000001,58.5,38.0
0.8,Yes,24.8,1008.2,83.5,22.333333333333332
0.8,Yes,28.425,1013.05,51.5,24.666666666666668
0.4,No,28.450000000000003,1013.3499999999999,43.5,28.333333333333332
0.2,No,28.200000000000003,1009.35,74.0,17.333333333333332
0.2,Yes,27.074999999999996,1010.75,79.5,19.333333333333332
0.2,Yes,27.2,1013.6500000000001,67.0,29.666666666666668
0.4,No,26.749999999999996,1014.15,66.5,22.333333333333332
0.2,No,27.924999999999997,1014.75,63.5,27.333333333333332
0.2,Yes,22.1,1019.2,79.0,30.666666666666668
0.8,Yes,25.1,1013.75,84.0,21.0
0.4,No,27.725,1010.3,68.5,22.333333333333332
0.2,Yes,29.65,1006.95,79.0,21.333333333333332
0.4,No,24.35,1020.1,65.5,33.333333333333336
0.6,Yes,10.875,1020.3,92.0,23.333333333333332
0.2,No,25.9,1019.35,43.0,21.666666666666668
0.2,Yes,8.475,1011.0,84.5,38.333333333333336
0.6,Yes,21.025,1013.25,79.0,23.666666666666668
0.4,No,13.975,1014.25,36.5,23.333333333333332
0.2,Yes,23.775,1005.65,50.0,16.333333333333332
0.2,No,11.399999999999999,1006.2,60.5,29.333333333333332
0.2,No,6.5,1035.85,74.0,17.333333333333332
0.2,No,7.300000000000001,1031.9,78.0,13.666666666666666
0.2,No,6.675000000000001,1022.4499999999999,80.5,10.666666666666666
0.4,No,22.599999999999998,1014.45,66.0,17.666666666666668
0.8,No,9.899999999999999,1008.3499999999999,62.0,26.666666666666668
1.0,No,25.699999999999996,1008.2,38.5,25.666666666666668
0.4,Yes,11.05,1016.15,90.5,17.666666666666668
1.0,No,20.9,1010.4,36.5,21.0
0.4,Yes,17.375,999.05,41.5,32.666666666666664
0.4,Yes,13.825,1010.65,88.0,18.666666666666668
0.2,Yes,4.4,1013.8,66.0,23.333333333333332
0.6,Yes,17.450000000000003,1022.7,88.5,18.666666666666668
0.6,No,20.475,1015.25,61.0,14.666666666666666
0.2,No,5.35,1017.65,69.0,18.0
0.2,No,9.7,1013.25,75.5,20.666666666666668
